file_path,file_size,file_type,parent_sequence,recording_type,estimated_sensor_type,row_count,column_count
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14b/S-Vw14b.csv,3668924,.csv,Vw14b,Smartphone,AndroSensor (IMU + GPS),19588,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14b/V-Vw14b.csv,4120915,.csv,Vw14b,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),19588,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14c/S-Vw14c.csv,2957471,.csv,Vw14c,Smartphone,AndroSensor (IMU + GPS),15826,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14c/V-Vw14c.csv,3363425,.csv,Vw14c,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),15826,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,254039,.csv,Vw15,Smartphone,AndroSensor (IMU + GPS),1380,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/V-Vw15.csv,263885,.csv,Vw15,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1391,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16a/S-Vw16a.csv,1100323,.csv,Vw16a,Smartphone,AndroSensor (IMU + GPS),5879,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16a/V-Vw16a.csv,1241037,.csv,Vw16a,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),5879,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16b/S-Vw16b.csv,211892,.csv,Vw16b,Smartphone,AndroSensor (IMU + GPS),1126,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16b/V-Vw16b.csv,239979,.csv,Vw16b,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1126,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/S-Vw17.csv,62489,.csv,Vw17,Smartphone,AndroSensor (IMU + GPS),329,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/V-Vw17.csv,71065,.csv,Vw17,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),329,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Y (Driver D)/Y1/S-Y1.csv,13039543,.csv,Y1,Smartphone,AndroSensor (IMU + GPS),70285,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Y (Driver D)/Y1/V-Y1.csv,14986075,.csv,Y1,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),70285,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-M.csv,19798716,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),105974,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,10011984,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),51746,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S2.csv,17469297,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),93876,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3a.csv,4730156,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),24621,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3b.csv,1297427,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),6813,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3c.csv,7158727,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),37183,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S4.csv,17574509,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),94600,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vfa01.csv,2134661,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),11486,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vfa02.csv,12603651,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),67523,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta10.csv,296597,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1502,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta11.csv,99409,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),510,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta12.csv,119914,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),610,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta13.csv,79167,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),404,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta14.csv,578774,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),2885,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta15.csv,166282,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),833,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta16.csv,2231230,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),11335,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta17.csv,897277,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),4519,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta19.csv,55537,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),292,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta1a.csv,4766735,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),25676,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta1b.csv,188978,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),954,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta2.csv,2149518,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),10991,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta20.csv,608133,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),3223,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta21.csv,414878,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),2079,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta22.csv,308800,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1564,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta23.csv,222406,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1110,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta24.csv,236619,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1171,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta25.csv,127720,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),646,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta26.csv,387222,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1935,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta27.csv,502320,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),2540,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta28.csv,842776,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),4210,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta29.csv,4387022,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),23705,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta3.csv,123424,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),645,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta30.csv,3175635,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),17136,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta4.csv,349178,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1789,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta5.csv,60433,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),307,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta6.csv,272232,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1376,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta7.csv,164330,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),840,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta8.csv,723761,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),3676,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta9.csv,31642,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),156,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb1.csv,6052891,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),32459,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb10.csv,38686,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),196,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb11.csv,70204,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),361,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb12.csv,87659,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),447,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb2.csv,1053024,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),5712,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb3.csv,1530270,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),8240,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb4.csv,111008,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),556,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb5.csv,12612030,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),64388,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb6.csv,99549,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),498,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb7.csv,90646,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),461,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb8.csv,131319,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),668,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb9.csv,89626,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),452,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,3524947,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),20476,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw10.csv,129358,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),652,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw11.csv,964445,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),4909,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw12.csv,176321,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),918,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw13.csv,54886,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),284,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw14a.csv,608561,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),3138,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw14b.csv,3869411,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),19588,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw14c.csv,3129600,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),15826,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,268621,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1380,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw16a.csv,1152501,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),5879,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw16b.csv,221088,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1126,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw17.csv,65869,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),329,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw2.csv,9883167,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),52713,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw3.csv,754118,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),3861,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw4.csv,23607413,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),126526,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw5.csv,194565,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1012,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw6.csv,246923,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1281,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw7.csv,313333,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1602,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw8.csv,297380,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),1529,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw9.csv,106439,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),552,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Y1.csv,13039538,.csv,S-Dataset,Smartphone,AndroSensor (IMU + GPS),70285,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-M.csv,22507823,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),105974,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,10967129,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),51746,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S2.csv,20091681,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),93876,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3a.csv,5286764,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),24621,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3b.csv,1464196,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),6813,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3c.csv,7976092,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),37183,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S4.csv,20164189,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),94600,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vfa01.csv,2398099,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),11535,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vfa02.csv,13955001,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),67755,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta10.csv,317921,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1502,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta11.csv,111690,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),510,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta12.csv,128904,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),610,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta13.csv,86963,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),404,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta14.csv,612352,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),2885,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta15.csv,175132,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),833,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta16.csv,2410634,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),11335,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta17.csv,972437,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),4519,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta19.csv,61675,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),292,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vta1a.csv,5444513,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),25676,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vta1b.csv,205277,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),953,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta2.csv,2307461,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),10991,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta20.csv,596090,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),3223,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta21.csv,450180,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),2079,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta22.csv,338739,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1564,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta23.csv,242444,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1110,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta24.csv,250448,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1171,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta25.csv,135915,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),646,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta26.csv,401896,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1935,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta27.csv,550395,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),2540,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta28.csv,901238,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),4210,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta29.csv,5117097,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),23705,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta3.csv,137891,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),645,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta30.csv,3628928,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),17136,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta4.csv,380874,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1789,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta5.csv,66401,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),307,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta6.csv,289249,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),1376,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta7.csv,179784,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),840,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta8.csv,753939,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),3676,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta9.csv,33110,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),156,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb1.csv,6989783,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),32459,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb10.csv,42725,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),195,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb11.csv,74838,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),361,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb12.csv,94747,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),447,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb2.csv,1200565,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),5712,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb3.csv,1739502,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),8240,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb4.csv,118374,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),556,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb5.csv,13567208,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),64388,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb6.csv,105659,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),498,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb7.csv,101086,.csv,V-Dataset,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),461,29
